Form Name,Category,Description,Download Link,Status,Last Updated
Birth Certificate Application,Vital Records,Apply for birth certificate with proof of identification,https://drive.google.com/file/d/YOUR_FILE_ID/view?usp=sharing,Active,2026-08-13
Death Certificate Application,Vital Records,Apply for death certificate with required documents,https://drive.google.com/file/d/YOUR_FILE_ID/view?usp=sharing,Active,2026-08-13
Marriage Certificate,Vital Records,Certificate of marriage registration,https://drive.google.com/file/d/YOUR_FILE_ID/view?usp=sharing,Active,2026-08-13
Residential Certificate,Residential,Proof of residential address in Kamle District,https://drive.google.com/file/d/YOUR_FILE_ID/view?usp=sharing,Active,2026-08-12
Identity Proof Form,Residential,Application for identity proof documentation,https://drive.google.com/file/d/YOUR_FILE_ID/view?usp=sharing,Active,2026-08-12
School Leaving Certificate,Educational,School leaving certificate application,https://drive.google.com/file/d/YOUR_FILE_ID/view?usp=sharing,Active,2026-08-10
Caste Certificate,Educational,Application for caste certificate,https://drive.google.com/file/d/YOUR_FILE_ID/view?usp=sharing,Coming Soon,2026-08-13
Trade License Application,Business,Register business/trade with district administration,https://drive.google.com/file/d/YOUR_FILE_ID/view?usp=sharing,Active,2026-08-12
Business Registration Form,Business,Formal business registration documentation,https://drive.google.com/file/d/YOUR_FILE_ID/view?usp=sharing,Active,2026-08-12
Farmer Registration,Agriculture,Register as farmer in Kamle District,https://drive.google.com/file/d/YOUR_FILE_ID/view?usp=sharing,Active,2026-08-10
Agricultural Loan Application,Agriculture,Apply for agricultural loans and subsidies,https://drive.google.com/file/d/YOUR_FILE_ID/view?usp=sharing,Coming Soon,2026-08-13
Health Certificate,Health,Medical health certificate application,https://drive.google.com/file/d/YOUR_FILE_ID/view?usp=sharing,Active,2026-08-10
Vaccination Certificate Request,Health,Request for vaccination certificate,https://drive.google.com/file/d/YOUR_FILE_ID/view?usp=sharing,Active,2026-08-10
